year,state,population
2005,Aguascalientes,1065416
2005,Baja California,2844469
2005,Baja California Sur,512170
2005,Campeche,754730
2005,Coahuila,2495200
2005,Colima,567996
2005,Chiapas,4293459
2005,Chihuahua,3241444
2005,Ciudad de México,8720916
2005,Durango,1509117
2005,Guanajuato,4893812
2005,Guerrero,3115202
2005,Hidalgo,2345514
2005,Jalisco,6752113
2005,México,14007495
2005,Michoacán de Ocampo,3966073
2005,Morelos,1612899
2005,Nayarit,949684
2005,Nuevo León,4199292
2005,Oaxaca,3506821
2005,Puebla,5383133
2005,Querétaro,1598139
2005,Quintana Roo,1135309
2005,San Luis Potosí,2410414
2005,Sinaloa,2608442
2005,Sonora,2394861
2005,Tabasco,1989969
2005,Tamaulipas,3024238
2005,Tlaxcala,1068207
2005,Veracruz,7110214
2005,Yucatán,1818948
2005,Zacatecas,1367692
