year,state,population
1995,Aguascalientes,862720
1995,Baja California,2112140
1995,Baja California Sur,375494
1995,Campeche,642516
1995,Coahuila,2173775
1995,Colima,488028
1995,Chiapas,3584786
1995,Chihuahua,2793537
1995,Ciudad de México,8489007
1995,Durango,1431748
1995,Guanajuato,4406568
1995,Guerrero,2916567
1995,Hidalgo,2112473
1995,Jalisco,5991176
1995,México,11707964
1995,Michoacán de Ocampo,3870604
1995,Morelos,1442662
1995,Nayarit,896702
1995,Nuevo León,3550114
1995,Oaxaca,3228895
1995,Puebla,4624365
1995,Querétaro,1250476
1995,Quintana Roo,703536
1995,San Luis Potosí,2200763
1995,Sinaloa,2425675
1995,Sonora,2085536
1995,Tabasco,1748769
1995,Tamaulipas,2527328
1995,Tlaxcala,883924
1995,Veracruz,6737324
1995,Yucatán,1556622
1995,Zacatecas,1336496
