year,state,population
2000,Aguascalientes,944285
2000,Baja California,2487367
2000,Baja California Sur,424041
2000,Campeche,690689
2000,Coahuila,2298070
2000,Colima,542627
2000,Chiapas,3920892
2000,Chihuahua,3052907
2000,Ciudad de México,8605239
2000,Durango,1448661
2000,Guanajuato,4663032
2000,Guerrero,3079649
2000,Hidalgo,2235591
2000,Jalisco,6322002
2000,México,13096686
2000,Michoacán de Ocampo,3985667
2000,Morelos,1555296
2000,Nayarit,920185
2000,Nuevo León,3834141
2000,Oaxaca,3438765
2000,Puebla,5076686
2000,Querétaro,1404306
2000,Quintana Roo,874963
2000,San Luis Potosí,2299360
2000,Sinaloa,2536844
2000,Sonora,2216969
2000,Tabasco,1891829
2000,Tamaulipas,2753222
2000,Tlaxcala,962646
2000,Veracruz,6908975
2000,Yucatán,1658210
2000,Zacatecas,1353610
