year,state,population
1990,Aguascalientes,719659
1990,Baja California,1660855
1990,Baja California Sur,317764
1990,Campeche,535185
1990,Coahuila,1972340
1990,Colima,428510
1990,Chiapas,3210496
1990,Chihuahua,2441873
1990,Ciudad de México,8235744
1990,Durango,1349378
1990,Guanajuato,3982593
1990,Guerrero,2620637
1990,Hidalgo,1888366
1990,Jalisco,5302689
1990,México,9815795
1990,Michoacán de Ocampo,3548199
1990,Morelos,1195059
1990,Nayarit,824643
1990,Nuevo León,3098736
1990,Oaxaca,3019560
1990,Puebla,4126101
1990,Querétaro,1051235
1990,Quintana Roo,493277
1990,San Luis Potosí,2003187
1990,Sinaloa,2204054
1990,Sonora,1823606
1990,Tabasco,1501744
1990,Tamaulipas,2249581
2010,Tlaxcala,761277
2005,Veracruz,6228239
2000,Yucatán,1362940
1995,Zacatecas,1276323
